IP,Scan Date,Start Time,End Time
172.20.136.0-172.20.136.255,8/21/2019,22:00,5:00
172.20.190.0-172.20.190.255,8/21/2019,22:00,5:00
172.20.156.0-172.20.156.255,8/21/2019,22:00,5:00
172.20.170.0-172.20.170.255,8/21/2019,22:00,5:00
172.20.172.0-172.20.172.255,8/21/2019,22:00,5:00
172.20.137.0-172.20.137.255,8/21/2019,22:00,5:00
172.21.143.0-172.21.143.255,8/21/2019,22:00,5:00
172.20.193.0-172.20.193.255,8/21/2019,22:00,5:00
172.20.138.0-172.20.138.255,8/21/2019,22:00,5:00
172.20.183.0-172.20.183.255,8/21/2019,22:00,5:00
172.20.213.0-172.20.213.255,8/21/2019,22:00,5:00
172.20.184.0-172.20.184.255,8/21/2019,22:00,5:00
172.20.139.0-172.20.139.255,8/21/2019,22:00,5:00
172.23.214.0-172.23.214.255,8/22/2019,22:00,5:00
172.20.140.0-172.20.140.255,8/22/2019,22:00,5:00
172.20.212.0-172.20.212.255,8/22/2019,22:00,5:00
172.20.205.0-172.20.205.255,8/22/2019,22:00,5:00
172.20.174.0-172.20.174.255,8/22/2019,22:00,5:00
172.21.106.0-172.21.106.255,8/22/2019,22:00,5:00
172.20.141.0-172.20.141.255,8/22/2019,22:00,5:00
172.20.240.0-172.20.240.255,8/22/2019,22:00,5:00
172.17.17.0-172.17.17.255,8/22/2019,22:00,5:00
172.20.216.0-172.20.216.255,8/22/2019,22:00,5:00
172.20.175.0-172.20.175.255,8/22/2019,22:00,5:00
172.16.29.0-172.16.29.255,8/22/2019,22:00,5:00
172.16.162.0-172.16.162.255,8/22/2019,22:00,5:00
172.17.149.0-172.17.149.255,8/22/2019,22:00,5:00
172.20.179.0-172.20.179.255,8/22/2019,22:00,5:00
172.22.14.0-172.22.14.255,8/22/2019,22:00,5:00
172.20.142.0-172.20.142.255,8/22/2019,22:00,5:00
172.21.62.0-172.21.62.255,8/22/2019,22:00,5:00
172.20.218.0-172.20.218.255,8/22/2019,22:00,5:00
172.20.152.0-172.20.152.255,8/22/2019,22:00,5:00
172.21.117.0-172.21.117.255,8/22/2019,22:00,5:00
172.20.151.0-172.20.151.255,8/22/2019,22:00,5:00
172.16.118.0-172.16.118.255,8/22/2019,22:00,5:00
172.21.105.0-172.21.105.255,8/23/2019,22:00,5:00
172.21.10.0-172.21.10.255,8/23/2019,22:00,5:00
172.20.236.0-172.20.236.255,8/23/2019,22:00,5:00
172.21.137.0-172.21.137.255,8/23/2019,22:00,5:00
172.20.226.0-172.20.226.255,8/23/2019,22:00,5:00
172.20.118.0-172.20.118.255,8/23/2019,22:00,5:00
172.20.196.0-172.20.196.255,8/23/2019,22:00,5:00
172.20.187.0-172.20.187.255,8/23/2019,22:00,5:00
172.20.188.0-172.20.188.255,8/23/2019,22:00,5:00
172.20.171.0-172.20.171.255,8/23/2019,22:00,5:00
172.21.103.0-172.21.103.255,8/23/2019,22:00,5:00
172.20.163.0-172.20.163.255,8/23/2019,22:00,5:00
172.20.143.0-172.20.143.255,8/23/2019,22:00,5:00
172.20.177.0-172.20.177.255,8/23/2019,22:00,5:00
172.20.215.0-172.20.215.255,8/23/2019,22:00,5:00
172.20.239.0-172.20.239.255,8/23/2019,22:00,5:00
172.21.101.0-172.21.101.255,8/23/2019,22:00,5:00
172.21.0.0-172.21.0.255,8/23/2019,22:00,5:00
172.20.144.0-172.20.144.255,8/23/2019,22:00,5:00
172.20.145.0-172.20.145.255,8/23/2019,22:00,5:00
172.20.180.0-172.20.180.255,8/23/2019,22:00,5:00
172.19.207.0-172.19.207.255,8/23/2019,22:00,5:00
172.21.110.0-172.21.110.255,8/23/2019,22:00,5:00
172.20.235.0-172.20.235.255,8/23/2019,22:00,5:00
172.16.147.0-172.16.147.255,8/23/2019,22:00,5:00
172.21.167.0-172.21.167.255,8/23/2019,22:00,5:00
172.20.181.0-172.20.181.255,8/23/2019,22:00,5:00
172.20.210.0-172.20.210.255,8/23/2019,22:00,5:00
172.20.165.0-172.20.165.255,8/23/2019,22:00,5:00
172.16.23.0-172.16.23.255,8/23/2019,22:00,5:00
172.18.7.0-172.18.7.255,8/23/2019,22:00,5:00
172.21.116.0-172.21.116.255,8/23/2019,22:00,5:00
172.21.118.0-172.21.118.255,8/23/2019,22:00,5:00
172.20.195.0-172.20.195.255,8/23/2019,22:00,5:00
